DELAY,sdfs,0.1,1,4,4
SPAWN_UNIT,PersonA1,1.1,1,LeftFront,5.1
DELAY,1,3,1,,8.1
SPAWN_UNIT,PersonA1,1.1,1,RightFront,9.2
DELAY,1,3,1,,12.2
SPAWN_UNIT,PersonA1,1.1,1,MiddleLeft,13.3
DELAY,1,2,1,,15.3
SPAWN_UNIT,PersonA1,1.1,1,MiddleRight,16.4
DELAY,1,7,1,,23.4
SPAWN_UNIT,Virus3,0.4,2,RightBalcony1,24.2
DELAY,1,1,1,,25.2
SPAWN_UNIT,Virus3,0.4,2,MiddleLeft,26
DELAY,1,3,1,,29
SPAWN_UNIT,Virus5,0.4,3,SataliteBody,30.2
DELAY,1,3,1,,33.2
SPAWN_UNIT,PersonA1,1.2,1,MiddleRight,34.4
DELAY,1,2,1,,36.4
SPAWN_UNIT,Virus4,0.4,3,BackdropLeft,37.6
DELAY,1,5,1,,42.6
DELAY,1,5,1,,47.6
SPAWN_UNIT,PersonA1,1.1,1,LeftFront,48.7
DELAY,1,1,1,,49.7
SPAWN_UNIT,PersonA1,1.1,1,MiddleRight,50.8
DELAY,1,1,1,,51.8
SPAWN_UNIT,PersonA1,1.1,1,MiddleRight,52.9
DELAY,1,1,1,,53.9
SPAWN_UNIT,Virus2,0.5,3,Antenna,55.4
DELAY,1,1,1,,56.4
SPAWN_UNIT,PersonA1,1.1,1,LeftFront,57.5
DELAY,1,1,1,,58.5
SPAWN_UNIT,Virus5,0.4,3,SataliteBody,59.7
DELAY,1,5,1,,64.7
SPAWN_UNIT,Virus2,1,1,RoofRightFront,70.5
SPAWN_UNIT,Virus2,1,1,RoofLeftFront,71.5
SPAWN_UNIT,Virus2,1,1,RoofLeftMiddle,72.5
SPAWN_UNIT,Virus2,1,1,RoofRightMiddle,73.5
SPAWN_UNIT,Virus2,1,1,RoofRightFront,74.5
SPAWN_UNIT,Virus2,1,1,RoofLeftFront,75.5
SPAWN_UNIT,Virus4,0.4,4,BackdropLeft,66.3
SPAWN_UNIT,Virus4,0.4,4,BackdropRight,67.9
SPAWN_UNIT,Virus4,0.4,4,BackdropLeft,69.5
DELAY,1,0,1,,75.5
SPAWN_UNIT,PersonA1,1.2,1,MiddleLeft,76.7
DELAY,1,3,1,,79.7
SPAWN_UNIT,Virus5,1.2,1,RightBalcony1,80.9
DELAY,1,3,1,,83.9
SPAWN_UNIT,PersonA1,1.2,1,MiddleLeft,85.1
SPAWN_UNIT,Virus4,0.4,6,Antenna,71.9
SPAWN_UNIT,Virus4,0.4,6,SataliteBody,77.9
DELAY,1,3,1,,80.9
DELAY,1,2,1,,82.9
SPAWN_UNIT,PersonA1,1.2,1,MiddleRight,84.1
DELAY,1,5,1,,89.1
DELAY,1,5,1,,94.1
SPAWN_UNIT,PersonA1,1.2,1,MiddleRight,95.3
DELAY,1,0.5,1,,95.8
SPAWN_UNIT,PersonA1,1.2,1,LeftFront,97
DELAY,1,0.5,1,,97.5
SPAWN_UNIT,PersonA1,1.2,1,RightBalcony1,98.7
DELAY,1,0.5,1,,99.2
SPAWN_UNIT,PersonA1,1.2,1,CenterLeft,100.4
DELAY,1,0.5,1,,100.9
SPAWN_UNIT,PersonA1,1.2,1,MiddleRight,102.1
DELAY,1,0.5,1,,102.6
SPAWN_UNIT,PersonA1,1.2,1,MiddleLeft,103.8
DELAY,1,0.5,1,,104.3
SPAWN_UNIT,PersonA1,1.2,1,RightBalcony1,105.5
DELAY,1,0.5,1,,106
SPAWN_UNIT,PersonA1,1.2,1,LeftFront,107.2
DELAY,1,0.5,1,,107.7
SPAWN_UNIT,PersonA1,1.2,1,MiddleRight,108.9
DELAY,1,0.5,1,,109.4
SPAWN_UNIT,PersonA1,1.2,1,CenterLeft,110.6
DELAY,1,5,1,,115.6
SPAWN_UNIT,Virus6,0.3,1,RearLeft,115.9
SPAWN_UNIT,Virus6,0.3,1,RearCenter,116.2
SPAWN_UNIT,Virus6,0.3,1,RearRight,116.5
SPAWN_UNIT,Virus6,0.3,1,RearLeft,116.8
SPAWN_UNIT,Virus6,0.3,1,RearCenter,117.1
SPAWN_UNIT,Virus6,0.3,1,RearRight,117.4
SPAWN_UNIT,Virus6,0.3,1,RearLeft,117.7
SPAWN_UNIT,Virus6,0.3,1,RearCenter,118
SPAWN_UNIT,Virus6,0.3,1,RearRight,118.3
DELAY,1,10,1,,128.3
END_LEVEL,,0,1,91.7,
