DELAY,sdfs,0.1,1,4
SPAWN_UNIT,MVirus6,3.5,1,BottomLeft
SPAWN_UNIT,MVirus6,2,1,BottomRight
SPAWN_UNIT,MVirus6,4,1,MiddleLeft
SPAWN_UNIT,MVirus6,2,1,MiddleRight
SPAWN_UNIT,MVirus6,2,1,TopLeft
SPAWN_UNIT,MVirus6,2,1,TopRight
SPAWN_UNIT,MVirus6,2,1,BottomLeft
SPAWN_UNIT,MVirus6,0.5,2,BottomRight
SPAWN_UNIT,MVirus6,0.5,2,MiddleLeft
SPAWN_UNIT,MVirus6,1,1,MiddleRight
SPAWN_UNIT,MVirus6,1,1,TopLeft
SPAWN_UNIT,MVirus6,1,1,TopRight
SPAWN_UNIT,MVirus6,1,1,BottomLeft
SPAWN_UNIT,MVirus6,1,1,BottomRight
SPAWN_UNIT,MVirus6,1,1,MiddleLeft
SPAWN_UNIT,MVirus6,1,1,MiddleRight
SPAWN_UNIT,MVirus6,1,1,TopLeft 
SPAWN_UNIT,MVirus6,1,1,TopRight
SPAWN_UNIT,MVirus6,1,1,TopRight
SPAWN_UNIT,MVirus6,0.5,1,MiddleLeft
SPAWN_UNIT,MVirus6,0.5,1,MiddleRight
SPAWN_UNIT,MVirus6,0.5,1,TopLeft 
SPAWN_UNIT,MVirus6,0.5,1,TopRight
SPAWN_UNIT,MVirus6,0.5,1,TopRight
END_LEVEL,0,1,1,
