DELAY,sdfs,0.1,1,4
SPAWN_UNIT,Virus1,3.5,1,RightFront
SPAWN_UNIT,Virus1,2,1,WifiMiddleLeft
SPAWN_UNIT,Virus1,4,1,WifiMiddleRight
SPAWN_UNIT,Virus1,2,1,WifiFrontLeft
SPAWN_UNIT,Virus1,2,1,WifiFrontRight
SPAWN_UNIT,Virus1,2,1,MiddleRight
SPAWN_UNIT,Virus1,2,1,RightFront
SPAWN_UNIT,Virus1,2,1,RightFront
SPAWN_UNIT,Virus1,2,1,MiddleLeft
SPAWN_UNIT,Virus1,2,1,WifiFrontLeft
SPAWN_UNIT,Virus1,2,1,WifiFrontRight
SPAWN_UNIT,Virus1,2,1,WifiMiddleLeft
SPAWN_UNIT,Virus1,4,1,WifiMiddleRight
SPAWN_UNIT,Virus1,2,1,WifiFrontLeft
SPAWN_UNIT,Virus1,2,1,WifiFrontRight
SPAWN_UNIT,Virus1,2,1,WifiMiddleLeft
SPAWN_UNIT,Virus1,4,1,WifiMiddleRight
SPAWN_UNIT,Virus1,2,1,RightFront
SPAWN_UNIT,Virus1,2,1,MiddleLeft
END_LEVEL,0,2,1,
